City,Year,Month,AQI
Bengaluru,2015,1,120.54
Bengaluru,2015,2,101.23
Bengaluru,2015,3,130.5454545
Bengaluru,2015,4,113.7333333
Bengaluru,2015,5,102.7741935
Bengaluru,2015,6,108.3
Bengaluru,2015,7,160.5483871
Bengaluru,2015,8,134.8709677
Bengaluru,2015,9,98.36666667
Bengaluru,2015,10,105.3225806
Bengaluru,2015,11,83.93333333
Bengaluru,2015,12,97.4516129
Bengaluru,2016,1,134.3225806
Bengaluru,2016,2,143.8965517
Bengaluru,2016,3,145.5806452
Bengaluru,2016,4,122
Bengaluru,2016,5,67.87096774
Bengaluru,2016,6,70.07142857
Bengaluru,2016,7,90.08
Bengaluru,2016,8,64.54166667
Bengaluru,2016,9,72.33333333
Bengaluru,2016,10,116.6129032
Bengaluru,2016,11,110.7
Bengaluru,2016,12,115.3870968
Bengaluru,2017,1,114.6129032
Bengaluru,2017,2,119.1785714
Bengaluru,2017,3,81.19354839
Bengaluru,2017,4,92
Bengaluru,2017,5,66.96774194
Bengaluru,2017,6,59.7
Bengaluru,2017,7,94.56666667
Bengaluru,2017,8,83
Bengaluru,2017,9,72.46666667
Bengaluru,2017,10,89.67741935
Bengaluru,2017,11,77.23333333
Bengaluru,2017,12,96.67741935
Bengaluru,2018,1,97.58064516
Bengaluru,2018,2,81
Bengaluru,2018,3,92.96551724
Bengaluru,2018,4,85.71428571
Bengaluru,2018,5,92.29032258
Bengaluru,2018,6,66.93333333
Bengaluru,2018,7,61.77419355
Bengaluru,2018,8,62.83870968
Bengaluru,2018,9,76.16666667
Bengaluru,2018,10,94.70967742
Bengaluru,2018,11,104.2
Bengaluru,2018,12,119
Bengaluru,2019,1,116.8064516
Bengaluru,2019,2,106.25
Bengaluru,2019,3,122.1290323
Bengaluru,2019,4,124.3
Bengaluru,2019,5,105.3870968
Bengaluru,2019,6,70.53333333
Bengaluru,2019,7,63.74193548
Bengaluru,2019,8,59.35483871
Bengaluru,2019,9,72.96666667
Bengaluru,2019,10,81.12903226
Bengaluru,2019,11,96.2
Bengaluru,2019,12,81.77419355
Bengaluru,2020,1,95.32258065
Bengaluru,2020,2,96.48275862
Bengaluru,2020,3,90.74193548
Bengaluru,2020,4,68.53333333
Bengaluru,2020,5,73.16129032
Bengaluru,2020,6,55.16666667
Bengaluru,2020,7,43
Bengaluru,2020,8,56.3184505
Bengaluru,2020,9,64.97448817
Bengaluru,2020,10,70.60029188
Bengaluru,2020,11,74.25666083
Bengaluru,2020,12,76.63303842
Bengaluru,2021,1,78.17751343
Bengaluru,2021,2,79.18131142
Bengaluru,2021,3,79.83370813
Bengaluru,2021,4,80.2577192
Bengaluru,2021,5,80.53329599
Bengaluru,2021,6,80.71240114
Bengaluru,2021,7,80.82880664
Bengaluru,2021,8,80.90446187
Bengaluru,2021,9,80.95363234
Bengaluru,2021,10,80.98558962
Bengaluru,2021,11,81.00635956
Bengaluru,2021,12,81.01985853
Bengaluru,2022,1,81.02863189
Bengaluru,2022,2,81.03433395
Bengaluru,2022,3,81.03803988
Bengaluru,2022,4,81.04044847
Bengaluru,2022,5,81.04201388
Bengaluru,2022,6,81.04303128
Bengaluru,2022,7,81.04369252
Bengaluru,2022,8,81.04412228
Bengaluru,2022,9,81.04440159
Bengaluru,2022,10,81.04458312
Bengaluru,2022,11,81.04470111
Bengaluru,2022,12,81.04477779
Bengaluru,2023,1,81.04482762
Bengaluru,2023,2,81.04486001
Bengaluru,2023,3,81.04488107
Bengaluru,2023,4,81.04489475
Bengaluru,2023,5,81.04490364
Bengaluru,2023,6,81.04490942
Bengaluru,2023,7,81.04491318
Bengaluru,2023,8,81.04491562
Bengaluru,2023,9,81.0449172
Bengaluru,2023,10,81.04491823
Bengaluru,2023,11,81.0449189
Bengaluru,2023,12,81.04491934
Bengaluru,2024,1,81.04491962
Bengaluru,2024,2,81.04491981
Bengaluru,2024,3,81.04491993
Bengaluru,2024,4,81.04492
Bengaluru,2024,5,81.04492006
Bengaluru,2024,6,81.04492009
Bengaluru,2024,7,81.04492011
Bengaluru,2024,8,81.04492012
Bengaluru,2024,9,81.04492013
Bengaluru,2024,10,81.04492014
Bengaluru,2024,11,81.04492014
Bengaluru,2024,12,81.04492014
Bengaluru,2025,1,81.04492015
Bengaluru,2025,2,81.04492015
Bengaluru,2025,3,81.04492015
Bengaluru,2025,4,81.04492015
Bengaluru,2025,5,81.04492015
Bengaluru,2025,6,81.04492015
Bengaluru,2025,7,81.04492015
Chennai,2015,1,130.22
Chennai,2015,2,245.98
Chennai,2015,3,363.8
Chennai,2015,4,175.862069
Chennai,2015,5,176.1290323
Chennai,2015,6,152.2
Chennai,2015,7,164.0645161
Chennai,2015,8,122.6129032
Chennai,2015,9,120.7333333
Chennai,2015,10,143.5806452
Chennai,2015,11,120.6333333
Chennai,2015,12,122
Chennai,2016,1,143.8387097
Chennai,2016,2,155.4137931
Chennai,2016,3,155.0645161
Chennai,2016,4,133.1666667
Chennai,2016,5,129.2580645
Chennai,2016,6,94.88235294
Chennai,2016,7,93.03333333
Chennai,2016,8,134.7419355
Chennai,2016,9,184.9333333
Chennai,2016,10,150.5
Chennai,2016,11,140.9333333
Chennai,2016,12,116.7142857
Chennai,2017,1,124.4193548
Chennai,2017,2,120.3571429
Chennai,2017,3,110.6451613
Chennai,2017,4,105.6
Chennai,2017,5,121.5806452
Chennai,2017,6,80.75862069
Chennai,2017,7,102
Chennai,2017,8,95.46428571
Chennai,2017,9,88.43333333
Chennai,2017,10,104.8709677
Chennai,2017,11,92.13333333
Chennai,2017,12,106.4193548
Chennai,2018,1,153.7096774
Chennai,2018,2,116.1428571
Chennai,2018,3,108.7419355
Chennai,2018,4,69.16666667
Chennai,2018,5,82.80645161
Chennai,2018,6,96.86666667
Chennai,2018,7,93.32258065
Chennai,2018,8,86.48387097
Chennai,2018,9,96.46666667
Chennai,2018,10,104.0322581
Chennai,2018,11,118.8333333
Chennai,2018,12,139.0322581
Chennai,2019,1,131
Chennai,2019,2,118.0714286
Chennai,2019,3,101.4193548
Chennai,2019,4,87.53333333
Chennai,2019,5,103.6129032
Chennai,2019,6,112.6666667
Chennai,2019,7,88.70967742
Chennai,2019,8,85.5483871
Chennai,2019,9,103.6333333
Chennai,2019,10,102.9032258
Chennai,2019,11,121.9666667
Chennai,2019,12,80.16129032
Chennai,2020,1,87.51612903
Chennai,2020,2,78.13793103
Chennai,2020,3,70.29032258
Chennai,2020,4,63.5
Chennai,2020,5,78.67741935
Chennai,2020,6,103.0666667
Chennai,2020,7,92
Chennai,2020,8,90.31803787
Chennai,2020,9,90.04563648
Chennai,2020,10,90.00151984
Chennai,2020,11,89.99437495
Chennai,2020,12,89.99321781
Chennai,2021,1,89.9930304
Chennai,2021,2,89.99300005
Chennai,2021,3,89.99299514
Chennai,2021,4,89.99299434
Chennai,2021,5,89.99299421
Chennai,2021,6,89.99299419
Chennai,2021,7,89.99299419
Chennai,2021,8,89.99299419
Chennai,2021,9,89.99299419
Chennai,2021,10,89.99299419
Chennai,2021,11,89.99299419
Chennai,2021,12,89.99299419
Chennai,2022,1,89.99299419
Chennai,2022,2,89.99299419
Chennai,2022,3,89.99299419
Chennai,2022,4,89.99299419
Chennai,2022,5,89.99299419
Chennai,2022,6,89.99299419
Chennai,2022,7,89.99299419
Chennai,2022,8,89.99299419
Chennai,2022,9,89.99299419
Chennai,2022,10,89.99299419
Chennai,2022,11,89.99299419
Chennai,2022,12,89.99299419
Chennai,2023,1,89.99299419
Chennai,2023,2,89.99299419
Chennai,2023,3,89.99299419
Chennai,2023,4,89.99299419
Chennai,2023,5,89.99299419
Chennai,2023,6,89.99299419
Chennai,2023,7,89.99299419
Chennai,2023,8,89.99299419
Chennai,2023,9,89.99299419
Chennai,2023,10,89.99299419
Chennai,2023,11,89.99299419
Chennai,2023,12,89.99299419
Chennai,2024,1,89.99299419
Chennai,2024,2,89.99299419
Chennai,2024,3,89.99299419
Chennai,2024,4,89.99299419
Chennai,2024,5,89.99299419
Chennai,2024,6,89.99299419
Chennai,2024,7,89.99299419
Chennai,2024,8,89.99299419
Chennai,2024,9,89.99299419
Chennai,2024,10,89.99299419
Chennai,2024,11,89.99299419
Chennai,2024,12,89.99299419
Chennai,2025,1,89.99299419
Chennai,2025,2,89.99299419
Chennai,2025,3,89.99299419
Chennai,2025,4,89.99299419
Chennai,2025,5,89.99299419
Chennai,2025,6,89.99299419
Chennai,2025,7,89.99299419
Delhi,2015,1,342.2903226
Delhi,2015,2,327.9285714
Delhi,2015,3,256.0645161
Delhi,2015,4,305.2666667
Delhi,2015,5,348.5806452
Delhi,2015,6,258.3333333
Delhi,2015,7,200.2903226
Delhi,2015,8,218.0645161
Delhi,2015,9,225.3
Delhi,2015,10,325
Delhi,2015,11,405.0333333
Delhi,2015,12,355.3225806
Delhi,2016,1,441.9032258
Delhi,2016,2,312.4482759
Delhi,2016,3,230.0967742
Delhi,2016,4,290.6666667
Delhi,2016,5,268.3548387
Delhi,2016,6,243.7333333
Delhi,2016,7,164.9666667
Delhi,2016,8,147.4193548
Delhi,2016,9,218.7
Delhi,2016,10,411.0645161
Delhi,2016,11,474.8333333
Delhi,2016,12,409.2903226
Delhi,2017,1,354.1935484
Delhi,2017,2,343.9285714
Delhi,2017,3,282.2580645
Delhi,2017,4,316.8
Delhi,2017,5,315.4193548
Delhi,2017,6,144.7586207
Delhi,2017,7,67.16129032
Delhi,2017,8,68.30434783
Delhi,2017,9,114.6666667
Delhi,2017,10,284.1612903
Delhi,2017,11,406.7333333
Delhi,2017,12,337.1290323
Delhi,2018,1,349.7419355
Delhi,2018,2,289.1785714
Delhi,2018,3,234.1290323
Delhi,2018,4,245.5333333
Delhi,2018,5,235.3225806
Delhi,2018,6,224.3666667
Delhi,2018,7,112.4193548
Delhi,2018,8,122.0645161
Delhi,2018,9,121.9333333
Delhi,2018,10,290.4193548
Delhi,2018,11,367.0666667
Delhi,2018,12,400.3870968
Delhi,2019,1,365.7419355
Delhi,2019,2,258.1785714
Delhi,2019,3,197.3548387
Delhi,2019,4,219.4
Delhi,2019,5,235.8387097
Delhi,2019,6,197.7666667
Delhi,2019,7,145.0967742
Delhi,2019,8,99.29032258
Delhi,2019,9,106.5333333
Delhi,2019,10,251
Delhi,2019,11,356.1
Delhi,2019,12,353.9032258
Delhi,2020,1,308.4516129
Delhi,2020,2,262.137931
Delhi,2020,3,135.8387097
Delhi,2020,4,113
Delhi,2020,5,148.6451613
Delhi,2020,6,125.7333333
Delhi,2020,7,101
Delhi,2020,8,98.0808583
Delhi,2020,9,98.78775345
Delhi,2020,10,98.61657274
Delhi,2020,11,98.65802561
Delhi,2020,12,98.64798745
Delhi,2021,1,98.65041827
Delhi,2021,2,98.64982963
Delhi,2021,3,98.64997217
Delhi,2021,4,98.64993766
Delhi,2021,5,98.64994601
Delhi,2021,6,98.64994399
Delhi,2021,7,98.64994448
Delhi,2021,8,98.64994436
Delhi,2021,9,98.64994439
Delhi,2021,10,98.64994438
Delhi,2021,11,98.64994439
Delhi,2021,12,98.64994438
Delhi,2022,1,98.64994439
Delhi,2022,2,98.64994439
Delhi,2022,3,98.64994439
Delhi,2022,4,98.64994439
Delhi,2022,5,98.64994439
Delhi,2022,6,98.64994439
Delhi,2022,7,98.64994439
Delhi,2022,8,98.64994439
Delhi,2022,9,98.64994439
Delhi,2022,10,98.64994439
Delhi,2022,11,98.64994439
Delhi,2022,12,98.64994439
Delhi,2023,1,98.64994439
Delhi,2023,2,98.64994439
Delhi,2023,3,98.64994439
Delhi,2023,4,98.64994439
Delhi,2023,5,98.64994439
Delhi,2023,6,98.64994439
Delhi,2023,7,98.64994439
Delhi,2023,8,98.64994439
Delhi,2023,9,98.64994439
Delhi,2023,10,98.64994439
Delhi,2023,11,98.64994439
Delhi,2023,12,98.64994439
Delhi,2024,1,98.64994439
Delhi,2024,2,98.64994439
Delhi,2024,3,98.64994439
Delhi,2024,4,98.64994439
Delhi,2024,5,98.64994439
Delhi,2024,6,98.64994439
Delhi,2024,7,98.64994439
Delhi,2024,8,98.64994439
Delhi,2024,9,98.64994439
Delhi,2024,10,98.64994439
Delhi,2024,11,98.64994439
Delhi,2024,12,98.64994439
Delhi,2025,1,98.64994439
Delhi,2025,2,98.64994439
Delhi,2025,3,98.64994439
Delhi,2025,4,98.64994439
Delhi,2025,5,98.64994439
Delhi,2025,6,98.64994439
Delhi,2025,7,98.64994439
